borough,tier,route_name,equipment_id,gps_specific,gps_combined,route_len,pctcomp_specific,pctcomp_combined
BQ,H1,BQ_99_RH_H108,29FF013,3669.212389,237407.0381,261265.2099,0.014044014,0.908682171
BQ,H1,BQ_99_RH_H108,29FF106,116696.4612,237407.0381,261265.2099,0.446659014,0.908682171
BQ,H1,BQ_99_RH_H108,29FG009,0,237407.0381,261265.2099,0,0.908682171
BQ,H1,BQ_99_RH_H108,29FG114,104753.4649,237407.0381,261265.2099,0.400946858,0.908682171
BQ,H1,BQ_99_RH_H108,29FG328,25239.85153,237407.0381,261265.2099,0.096606248,0.908682171
BQ,H1,BQ_99_RH_H108,29FG329,106514.0635,237407.0381,261265.2099,0.407685599,0.908682171
BQ,H1,BQ_99_RH_H108,38AB224,57686.64902,237407.0381,261265.2099,0.220797285,0.908682171
BQ,H1,BQ_99_RH_H108,38AE021,14931.30561,237407.0381,261265.2099,0.057149996,0.908682171
BQ,H1,BQ_99_RH_H108,38AE823,58871.41209,237407.0381,261265.2099,0.225331999,0.908682171
BQ,H1,BQ_99_RH_H108,38AF036,29224.36872,237407.0381,261265.2099,0.1118571,0.908682171
BQ,H1,BQ_99_RH_H108,38AF118,86009.91625,237407.0381,261265.2099,0.329205394,0.908682171
BQ,H1,BQ_99_RH_H110,29FG316,27146.57555,28626.72365,30009.51568,0.904598922,0.953921548
BQ,H1,BQ_99_RH_H110,29FG317,15609.992,28626.72365,30009.51568,0.520168075,0.953921548
BQ,H1,BQ_99_RH_H111,29FF009,22344.03171,109979.0922,189495.7975,0.117913073,0.580377474
BQ,H1,BQ_99_RH_H111,29FG110,58175.70237,109979.0922,189495.7975,0.307002599,0.580377474
BQ,H1,BQ_99_RH_H111,29FG203,0,109979.0922,189495.7975,0,0.580377474
BQ,H1,BQ_99_RH_H111,29FG216,6999.254219,109979.0922,189495.7975,0.036936198,0.580377474
BQ,H1,BQ_99_RH_H111,29FG401,40733.91975,109979.0922,189495.7975,0.214959489,0.580377474
BQ,H1,BQ_99_RH_H111,29FG405,5987.271844,109979.0922,189495.7975,0.031595803,0.580377474
BQ,H1,BQ_99_RH_H111,38AE007,45585.37706,109979.0922,189495.7975,0.240561414,0.580377474
BQ,H1,BQ_99_RH_H111,38AE010,2997.37628,109979.0922,189495.7975,0.01581764,0.580377474
BQ,H1,BQ_99_RH_H111,38AE106,21468.29839,109979.0922,189495.7975,0.113291686,0.580377474
MB,H1,MB_99_RH_H101,29FG301,45565.96754,60548.26359,77581.31626,0.587331715,0.780449037
MB,H1,MB_99_RH_H101,38AF052,37164.12903,60548.26359,77581.31626,0.479034526,0.780449037
MB,H1,MB_99_RH_H102,29FG209,42188.37164,117491.1941,136005.0621,0.310197069,0.863873684
MB,H1,MB_99_RH_H102,29FG302,25314.96459,117491.1941,136005.0621,0.186132517,0.863873684
MB,H1,MB_99_RH_H102,29FG303,19547.96118,117491.1941,136005.0621,0.143729659,0.863873684
MB,H1,MB_99_RH_H102,29FG304,52348.20685,117491.1941,136005.0621,0.384898959,0.863873684
MB,H1,MB_99_RH_H102,29FG305,5229.196624,117491.1941,136005.0621,0.038448544,0.863873684
MB,H1,MB_99_RH_H102,29FG306,21321.75495,117491.1941,136005.0621,0.156771775,0.863873684
MB,H1,MB_99_RH_H102,38AB616,31849.75902,117491.1941,136005.0621,0.234180688,0.863873684
MB,H1,MB_99_RH_H102,38AD002,7122.034648,117491.1941,136005.0621,0.052365953,0.863873684
MB,H1,MB_99_RH_H102,38AE022,31003.17057,117491.1941,136005.0621,0.227956005,0.863873684
MB,H1,MB_99_RH_H102,38AF110,17939.769,117491.1941,136005.0621,0.131905156,0.863873684
MB,H1,MB_99_RH_H103,29FG101,16978.30797,48849.95899,143471.7596,0.118339024,0.340484839
MB,H1,MB_99_RH_H103,29FG104,10248.26259,48849.95899,143471.7596,0.071430521,0.340484839
MB,H1,MB_99_RH_H103,38AB302,5124.416837,48849.95899,143471.7596,0.035717251,0.340484839
MB,H1,MB_99_RH_H103,38AF003,25573.57623,48849.95899,143471.7596,0.178248153,0.340484839
MB,H1,MB_99_RH_H104,29FE202,67476.90094,109032.8148,122907.4798,0.549005651,0.887112932
MB,H1,MB_99_RH_H104,29FF002,44979.07297,109032.8148,122907.4798,0.365958793,0.887112932
MB,H1,MB_99_RH_H104,29FF005,14504.17184,109032.8148,122907.4798,0.118008862,0.887112932
MB,H1,MB_99_RH_H104,29FF116,58490.65046,109032.8148,122907.4798,0.475891708,0.887112932
MB,H1,MB_99_RH_H104,29FG002,13054.76551,109032.8148,122907.4798,0.1062162,0.887112932
MB,H1,MB_99_RH_H104,38AC009,1249.944292,109032.8148,122907.4798,0.010169798,0.887112932
MB,H1,MB_99_RH_H104,38AE705,0,109032.8148,122907.4798,0,0.887112932
MB,H1,MB_99_RH_H105,29FG201,0,30074.0281,70666.33467,0,0.425577869
MB,H1,MB_99_RH_H105,29FG207,10525.36834,30074.0281,70666.33467,0.148944591,0.425577869
MB,H1,MB_99_RH_H105,38AC001,18106.3306,30074.0281,70666.33467,0.256222863,0.425577869
MB,H1,MB_99_RH_H105,38AE808,4033.396429,30074.0281,70666.33467,0.057076633,0.425577869
MB,H1,MB_99_RH_H106,29FF003,62513.33568,214160.0453,230450.0966,0.271266259,0.929312022
MB,H1,MB_99_RH_H106,29FF118,47597.21605,214160.0453,230450.0966,0.20654023,0.929312022
MB,H1,MB_99_RH_H106,29FG001,82779.56472,214160.0453,230450.0966,0.359208201,0.929312022
MB,H1,MB_99_RH_H106,29FG004,3853.347443,214160.0453,230450.0966,0.016720963,0.929312022
MB,H1,MB_99_RH_H106,29FG102,638.1656847,214160.0453,230450.0966,0.002769214,0.929312022
MB,H1,MB_99_RH_H106,29FG103,5108.692988,214160.0453,230450.0966,0.022168327,0.929312022
MB,H1,MB_99_RH_H106,29FG208,3974.683965,214160.0453,230450.0966,0.017247482,0.929312022
MB,H1,MB_99_RH_H106,29FG210,10070.32448,214160.0453,230450.0966,0.043698504,0.929312022
MB,H1,MB_99_RH_H106,29FG211,8589.358195,214160.0453,230450.0966,0.037272096,0.929312022
MB,H1,MB_99_RH_H106,29FG221,80310.46754,214160.0453,230450.0966,0.348493963,0.929312022
MB,H1,MB_99_RH_H106,29FG408,43565.6953,214160.0453,230450.0966,0.189046114,0.929312022
MB,H1,MB_99_RH_H106,38AC109,492.8344669,214160.0453,230450.0966,0.002138573,0.929312022
MB,H1,MB_99_RH_H106,38AD001,49673.49008,214160.0453,230450.0966,0.215549877,0.929312022
MB,H1,MB_99_RH_H106,38AE702,2531.561704,214160.0453,230450.0966,0.010985292,0.929312022
MB,H1,MB_99_RH_H106,38AE806,20396.01271,214160.0453,230450.0966,0.088505117,0.929312022
MB,H1,MB_99_RH_H106,38AF101,27572.55301,214160.0453,230450.0966,0.119646524,0.929312022
MB,H1,MB_99_RH_H107,29FF119,72035.33567,73678.61172,84414.93355,0.853348248,0.872814899
MB,H1,MB_99_RH_H107,38AB622,0,73678.61172,84414.93355,0,0.872814899
MB,H1,MB_99_RH_H107,38AE812,6768.09181,73678.61172,84414.93355,0.080176475,0.872814899
MB,H1,MB_99_RH_H108,29FF102,99282.83036,130674.7572,145426.1341,0.68270281,0.898564471
MB,H1,MB_99_RH_H108,29FF103,71542.34602,130674.7572,145426.1341,0.491949721,0.898564471
MB,H1,MB_99_RH_H108,29FG003,10230.53284,130674.7572,145426.1341,0.070348654,0.898564471
MB,H1,MB_99_RH_H108,29FG307,39916.45507,130674.7572,145426.1341,0.274479242,0.898564471
MB,H1,MB_99_RH_H108,29FG402,94957.32262,130674.7572,145426.1341,0.652959134,0.898564471
MB,H1,MB_99_RH_H108,38AB229,5965.480038,130674.7572,145426.1341,0.041020688,0.898564471
MB,H1,MB_99_RH_H110,29FF004,28764.40298,29515.24291,37655.73218,0.763878467,0.783818059
MB,H1,MB_99_RH_H110,38AB316,750.8399324,29515.24291,37655.73218,0.019939592,0.783818059
SI,H1,SI_99_RH_H102,29FG013,42158.68728,51676.8929,55709.4386,0.756760225,0.927614677
SI,H1,SI_99_RH_H102,29FG407,9536.773173,51676.8929,55709.4386,0.171187745,0.927614677
SI,H1,SI_99_RH_H102,38AB311,21224.16684,51676.8929,55709.4386,0.380979729,0.927614677
SI,H1,SI_99_RH_H103,29FF110,42539.30117,110243.2819,114494.0964,0.371541438,0.962873069
SI,H1,SI_99_RH_H103,29FG115,48010.71334,110243.2819,114494.0964,0.419329161,0.962873069
SI,H1,SI_99_RH_H103,29FG116,90018.16477,110243.2819,114494.0964,0.786225383,0.962873069
SI,H1,SI_99_RH_H103,29FG117,78761.30048,110243.2819,114494.0964,0.687907088,0.962873069
SI,H1,SI_99_RH_H103,29FG205,66180.92558,110243.2819,114494.0964,0.578029153,0.962873069
SI,H1,SI_99_RH_H103,29FG220,28634.62762,110243.2819,114494.0964,0.250096979,0.962873069
SI,H1,SI_99_RH_H104,29FG118,34973.6501,38976.45849,113999.8765,0.306786737,0.341899129
SI,H1,SI_99_RH_H104,38AB319,27669.31473,38976.45849,113999.8765,0.24271355,0.341899129
SI,H1,SI_99_RH_H104,38AF043,33063.25308,38976.45849,113999.8765,0.29002885,0.341899129
