borough,tier,route_name,equipment_id,gps_specific,gps_combined,route_len,pctcomp_specific,pctcomp_combined
BQ,H1,BQ_99_RH_H101,29FE201,27663.53408950374,338982.89090266684,364575.3257098556,0.07587878865809089,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FF012,91060.9965448885,338982.89090266684,364575.3257098556,0.24977279076018055,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FF101,91957.98976510848,338982.89090266684,364575.3257098556,0.2522331690605307,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FF117,10119.006748178243,338982.89090266684,364575.3257098556,0.027755599555377937,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FG008,58720.281955786995,338982.89090266684,364575.3257098556,0.16106488238454134,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FG107,33183.499794741285,338982.89090266684,364575.3257098556,0.09101959857024709,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FG108,0.0,338982.89090266684,364575.3257098556,0.0,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FG112,87894.78061331474,338982.89090266684,364575.3257098556,0.2410881220283961,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FG204,23377.484329780884,338982.89090266684,364575.3257098556,0.06412250824779188,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FG217,88555.01780675832,338982.89090266684,364575.3257098556,0.24289909810626914,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FG319,121429.08767287823,338982.89090266684,364575.3257098556,0.3330699559450398,0.9298020655745349
BQ,H1,BQ_99_RH_H101,29FG321,79754.66604535155,338982.89090266684,364575.3257098556,0.21876046024242488,0.9298020655745349
BQ,H1,BQ_99_RH_H101,38AC206,13343.980121727602,338982.89090266684,364575.3257098556,0.036601435096411374,0.9298020655745349
BQ,H1,BQ_99_RH_H101,38AE006,1755.6602621902266,338982.89090266684,364575.3257098556,0.004815631059976779,0.9298020655745349
BQ,H1,BQ_99_RH_H101,38AF005,58467.8626481299,338982.89090266684,364575.3257098556,0.1603725170765888,0.9298020655745349
BQ,H1,BQ_99_RH_H102,29FF006,92865.19998520386,146864.6363903924,160634.306287799,0.5781156101157281,0.9142793951316971
BQ,H1,BQ_99_RH_H102,29FF105,0.0,146864.6363903924,160634.306287799,0.0,0.9142793951316971
BQ,H1,BQ_99_RH_H102,29FG311,37335.93937180501,146864.6363903924,160634.306287799,0.2324281794753463,0.9142793951316971
BQ,H1,BQ_99_RH_H102,29FG327,59076.57653661259,146864.6363903924,160634.306287799,0.3677706082951836,0.9142793951316971
BQ,H1,BQ_99_RH_H102,29FG404,73718.57971496526,146864.6363903924,160634.306287799,0.4589217672020558,0.9142793951316971
BQ,H1,BQ_99_RH_H103,38AE616,12101.545097570408,69957.1770576223,78711.37933340968,0.15374581413918628,0.8887809825013768
BQ,H1,BQ_99_RH_H103,38AE722,38188.47951745078,69957.1770576223,78711.37933340968,0.48517101137167007,0.8887809825013768
BQ,H1,BQ_99_RH_H103,38AF121,59168.72071993327,69957.1770576223,78711.37933340968,0.7517174927098068,0.8887809825013768
BQ,H1,BQ_99_RH_H104,29FF011,238.70794891481307,125187.47167758693,143611.43704557949,0.0016621792374262839,0.8717096232209436
BQ,H1,BQ_99_RH_H104,29FG111,2189.1839217809097,125187.47167758693,143611.43704557949,0.015243799287933417,0.8717096232209436
BQ,H1,BQ_99_RH_H104,29FG219,23572.125793496114,125187.47167758693,143611.43704557949,0.16413822101052966,0.8717096232209436
BQ,H1,BQ_99_RH_H104,29FG412,82224.93069692611,125187.47167758693,143611.43704557949,0.5725514094715781,0.8717096232209436
BQ,H1,BQ_99_RH_H104,38AB320,32809.680911150026,125187.47167758693,143611.43704557949,0.22846147623076007,0.8717096232209436
BQ,H1,BQ_99_RH_H104,38AD006,23262.659242238737,125187.47167758693,143611.43704557949,0.1619833330877923,0.8717096232209436
BQ,H1,BQ_99_RH_H104,38AE005,22459.154863258394,125187.47167758693,143611.43704557949,0.1563883443075953,0.8717096232209436
BQ,H1,BQ_99_RH_H104,38AE018,0.0,125187.47167758693,143611.43704557949,0.0,0.8717096232209436
BQ,H1,BQ_99_RH_H104,38AE608,56891.15292838247,125187.47167758693,143611.43704557949,0.3961463940379605,0.8717096232209436
BQ,H1,BQ_99_RH_H105,29FF001,9467.634595385136,76211.60641982652,79237.85362235493,0.11948373362749057,0.961808061881509
BQ,H1,BQ_99_RH_H105,29FF007,7884.464311936759,76211.60641982652,79237.85362235493,0.0995037592707796,0.961808061881509
BQ,H1,BQ_99_RH_H105,29FF008,65572.31131075327,76211.60641982652,79237.85362235493,0.8275377021639496,0.961808061881509
BQ,H1,BQ_99_RH_H105,29FG202,12615.385207442087,76211.60641982652,79237.85362235493,0.15920907282046176,0.961808061881509
BQ,H1,BQ_99_RH_H105,29FG212,29570.525657913,76211.60641982652,79237.85362235493,0.3731868583792998,0.961808061881509
BQ,H1,BQ_99_RH_H105,29FG213,16821.76359832286,76211.60641982652,79237.85362235493,0.21229453890270927,0.961808061881509
BQ,H1,BQ_99_RH_H105,38AE517,23811.62710825772,76211.60641982652,79237.85362235493,0.3005082295874625,0.961808061881509
BQ,H1,BQ_99_RH_H105,38AF054,7358.528585594471,76211.60641982652,79237.85362235493,0.09286632902372575,0.961808061881509
BQ,H1,BQ_99_RH_H106,29FF108,18236.399844518764,178630.28401010178,265964.3489992226,0.06856708394622969,0.6716324375142979
BQ,H1,BQ_99_RH_H106,29FF112,0.0,178630.28401010178,265964.3489992226,0.0,0.6716324375142979
